concert_name,artists,date,time,city,state,price_min,price_max
Kodaline,"['Kodaline', 'Jamie N Commons']",2019-07-26,20:00:00,Clifton Park,NY,N/A,N/A
Saturday Night Summer Fever,"['Saturday Night Summer Fever', 'The New York Bee Gees', 'Tavares', 'The Trammps feat. Earl Young', 'Thelma Houston', 'Musique', 'Alfa, Luci & Norma Jean', 'The Delfonics', 'Carol Douglas']",2019-07-20,19:00:00,Brooklyn,NY,29.5,29.5
Bad Religion,['Bad Religion'],2019-08-06,20:00:00,Rochester,NY,N/A,N/A
Ted Nugent,['Ted Nugent'],2019-08-12,20:00:00,North Tonawanda,NY,N/A,N/A
The Menzingers,['The Menzingers'],2019-07-23,20:00:00,Syracuse,NY,N/A,N/A
Mac DeMarco,['Mac DeMarco'],2019-08-06,19:30:00,Brooklyn,NY,N/A,N/A
Crown The Empire w/ Attila - The Band,"['Crown the Empire', 'Attila - The Band', 'Veil of Maya', 'Gideon']",2019-08-06,18:00:00,Syracuse,NY,N/A,N/A
August Burns Red w/ Silverstein,"['August Burns Red', 'Silverstein', 'Silent Planet']",2019-08-11,19:00:00,New York,NY,N/A,N/A
Brian Wilson,['Brian Wilson'],2019-08-09,20:00:00,Waterloo,NY,N/A,N/A
Dark Star Orchestra,['Dark Star Orchestra'],2019-07-30,19:00:00,Utica,NY,N/A,N/A
Crown The Empire w/ Attila - The Band,"['Crown the Empire', 'Attila - The Band', 'Veil of Maya', 'Gideon']",2019-08-10,17:00:00,Poughkeepsie,NY,N/A,N/A
I Prevail,['I Prevail'],2019-07-22,19:25:00,Clifton Park,NY,N/A,N/A
Clutch,['Clutch'],2019-08-03,20:00:00,Port Chester,NY,N/A,N/A
Asia,['Asia'],2019-08-04,20:00:00,Patchogue,NY,N/A,N/A
"The Menzingers, the Sidekicks, Queen of Jeans","['The Menzingers', 'The Sidekicks']",2019-07-23,20:00:00,Syracuse,NY,N/A,N/A
Three Dog Night,['Three Dog Night'],2019-07-28,20:00:00,Westhampton Beach,NY,N/A,N/A
Between the Buried and Me,['Between The Buried And Me'],2019-07-24,19:00:00,Clifton Park,NY,N/A,N/A
"The Menzingers, the Sidekicks, Queen of Jeans","['The Menzingers', 'The Sidekicks']",2019-07-24,20:00:00,Buffalo,NY,N/A,N/A
The Menzingers,['The Menzingers'],2019-07-24,20:00:00,Buffalo,NY,N/A,N/A
Keane,['Keane'],2019-08-06,19:00:00,New York,NY,N/A,N/A
Dark Star Orchestra,['Dark Star Orchestra'],2019-08-02,19:00:00,Rochester,NY,N/A,N/A
Squeeze - the Squeeze Songbook Tour - Plus Leon Tilbrook,['Squeeze'],2019-08-14,20:00:00,Pawling,NY,N/A,N/A
Nickelodeon's JoJo Siwa D.R.E.A.M. The Tour,['JoJo Siwa'],2019-07-28,19:00:00,Lewiston,NY,N/A,N/A
Five Finger Death Punch,"['Five Finger Death Punch', 'In This Moment', 'Fire From the Gods']",2019-07-24,19:30:00,Binghamton,NY,49.5,49.5
Rebelution: Good Vibes Summer Tour 2019,"['Rebelution', 'Protoje', 'Collie Buddz']",2019-08-03,18:00:00,New York,NY,42.5,42.5
